canonical_product_link,product_name,brand_final,brand_source,category_primary,category_source,category_all,price,description_clean,item_ids,variant_count,page_rating,page_review_count,average_rating,rating_count,review_count,recommended_ratio,native_review_count,native_sampling_review_count,native_community_content_review_count,syndicated_review_count
https://www.ulta.com/p/100-natural-all-aglow-lip-cheek-stick-xlsImpprod19031007,100% Natural All Aglow Lip & Cheek Stick,Burt's Bees,structured,Blush,source,"[""Blush""]",12.99,"Burt's Bees All Aglow Lip & Cheek Stick offers the convenience of an all in one hybrid lip and cheek color stick that delivers the perfect color pop. Details Benefits LIP & CHEEK TINT: This dual-function make up stick gives your lips and cheeks the perfect color pop in a naturally flattering Suez Sands shade that screams a soft pinkish brown tone NOURISHING INGREDIENTS: This makeup duo is formulated to hydrate skin with 100% natural ingredients such as Jojoba Seed Oil Sunflower Seed Oil and a hydrating core made of coconut oil EASY APPLICATION: Swipe the 2-in-1 stick along your cheekbones as a blush or dab on your lips for a healthy-looking lightweight lip color without a heavy or cakey feel COLOR THAT CARES: Applies smoothly and blends easily this lip and cheek color is available in a variety of shades ranging from nude pink red coral and plum that deliver natural-looking color to enhance your natural glow NATURAL MAKEUP: This cheek and lip stick is dermatologist-tested and naturally formulated without parabens, phthalates, SLS, petrolatum or synthetic fragrances. Never tested on animals How To Use Swipe lip and cheek stick along your cheekbones and dab on your lips for a healthy-looking glow. For external use only. Ingredients Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Cera Alba [Beeswax], Cocos Nucifera (Coconut) Oil, Raphanus Sativus (Radish) Seed Extract, Ricinus Communis (Castor) Seed Oil, Lauryllaurate, Mica, Theobroma Grandiflorum Seed Butter, Silica, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Glycine Soja (Soybean) Oil, Linoleic Acid, Linolenic Acid, Aqua [Water], Alumina, Aroma [Flavor]*, Linalool. May Contain: Cl75470 [Carmine], CI 7749, CI 7749NI77499 [Iron Oxides], Cl77891 [Titanium Dioxide] *Arome Naturel/Natural Flavor.","[""2537402""]",1,4.5,265.0,4.48,265,265,0.92,44,,0,221
https://www.ulta.com/p/100-oil-free-eye-makeup-remover-xlsImpprod1790119,100% Oil Free Eye Makeup Remover,L'Oréal,description,Makeup Remover,source,"[""Makeup Remover""]",7.99,"Conscious Beauty at Ulta Beauty™ Give Back L'Oréal 100% Oil Free Eye Makeup Remover instantly and gently removes eye makeup without greasy residue while refreshing delicate eye area. Details Benefits Instantly & gently removes eye makeup 100% oil-free liquid eye makeup remover Dermatologist & Ophthalmologist tested Safe for contact lens wearers & is suitable for all skin types How To Use Sweep cotton ball or pad over closed eyelid and lashes until all traces of makeup are removed. Ingredients Water, Hexylene Glycol, Disodium Cocoamphodiacetate, Dipotassium Phosphate, Potassium Phosphate, Sodium Laureth 8 Sulfate, Sodium Laureth Sulfate, Allantoin, Magnesium Laureth 8 Sulfate, Magnesium Laureth Sulfate, Sodium Oleth Sulfate, Magnesium Oleth Sulfate, Imidazolidinyl Urea, Methylparaben, Disodium EDTA, Sodium Benzoate, Fragrance, FIL.","[""2090124""]",1,3.6,180.0,3.58,180,180,0.65,158,,0,22
https://www.ulta.com/p/16h-cover-last-powder-foundation-pimprod2033174,16h Cover & Last Powder Foundation,Essence,description,Foundation,source,"[""Foundation""]",5.99,"Conscious Beauty at Ulta Beauty™ Vegan Cruelty Free Give Back Looking for a long-lasting powder foundation that can keep up with your busy schedule? Look no further than Essence 16H Cover & Last Powder Foundation! Details Features Formulated Without Pressed powder foundation formula Long-lasting powder foundation lasts up to 16h Light texture with a high coverage & matte finish Waterproof foundation formula Transferproof foundation formula Mirror & sponge applicator included Cruelty free Animal by-products Fragrance Microplastic particles Parabens Preservatives How To Use Apply essence 16H Cover & Last Powder Foundation to well-moisturized and prepped skin with a foundation brush or the included sponge applicator. Build up coverage as desired. Ingredients 05 Classic Vanilla: Mica, Kaolin, Zea Mays (Corn) Starch, Shea Butter Ethyl Esters, Copernicia Cerifera (Carnauba) Wax, Ricinus Communis (Castor) Seed Oil, Macadamia Integrifolia/Tetraphylla Seed Oil, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, P-Anisic Acid, Magnolia Officinalis Bark Extract, Magnesium Oxide, Alumina, Citric Acid, CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77891 (Titanium Dioxide).","[""2597553""]",1,3.9,152.0,3.93,152,152,0.82,136,,0,16
https://www.ulta.com/p/16hr-camo-concealer-pimprod2002811,16HR Camo Concealer,e.l.f. Cosmetics,structured,Concealer,source,"[""Concealer""]",7.0,"Conscious Beauty at Ulta Beauty™ Vegan Cruelty Free e.l.f. Cosmetics 16HR Camo Concealer is a crease-proof liquid concealer that provides 16-hour full coverage and a matte finish while moisturizing your skin. Details Benefits Key Ingredients Formulated Without Full coverage liquid concealer with a smooth, matte finish and long 16-hour wear time Large doe foot applicator offers easy, even, and precise application Lightweight, highly pigmented formula won't settle into fine lines or creases Ingredient-driven formula moisturizes skin, while helping control shine Use to conceal, correct, contour and highlight For normal, combination, and oily skin Available in 26 shades 100% vegan, cruelty-free, and Leaping Bunny Certified. Avocado Oil - Moisturizes and protects skin Kaolin Clay - Helps control excess oil and shine Phthalates Parabens Nonylphenol Ethoxylates Triclosan Triclocarban Hydroquinone How To Use • Prep the under-eye area with the e.l.f. Holy Hydration! Eye Cream followed by the Poreless Putty Primer on top. • Use the doefoot applicator to apply concealer to desired areas. • Blend concealer with using the Flawless Concealer Brush by stippling areas that needed heavier coverage and buffing out the remainder. • Fingers or a sponge can be used as an alternate to blend the concealer. Ingredients Water (Aqua), Cyclopentasiloxane, Acrylates Crosspolymer, Butylene Glycol, PEG-10 Dimethicone, Trimethylsiloxysilicate, Cetyl PEG/PPG-10/1 Dimethicone, Sodium Chloride, Persea Gratissima (Avocado) Oil, Kaolin, Silica, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Disteardimonium Hectorite, Acrylates/Dimethicone Copolymer, Polyhydroxystearic Acid, Triethoxycaprylylsilane, Caprylyl Glycol, Disodium EDTA, Ethylhexylglycerin, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).","[""2538873""]",1,4.2,5291.0,4.18,5291,5291,0.86,1349,,0,3942
https://www.ulta.com/p/2-in-1-piece-of-cake-blush-highlighter-pimprod2044033,2 In 1 Piece Of Cake Blush + Highlighter,J.Cat Beauty,description,Blush,source,"[""Blush""]",8.99,"There are 2 much sweet overload with J.Cat Beauty 2 In 1 Piece Of Cake Blush + Highlighter! Details Features Contains 2 different formulas and shades for each layer. First blinding layer has intense highlight that is packed with maximum shimmer. Second layer will give the best flush of color on the cheeks with intense pigmentation How To Use Apply with fingertips or a brush to the center of the cheeks using a circular motion. Use the highlighter on areas where the sun naturally hits, like cheekbones, décolleté, brow bones with any powder brush or fan brush. Ingredients Having Fairy Good Day Blush: Dimethicone, Mica, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Synthetic Fluorphlogopite, Mineral Oil, Hydroxyacetophenone, Lauroyl Lysine, Chlorphenesin, Triethoxycaprylylsilane May Contain: Ultramarines(CI 77007), Iron Oxide（CI 77491), Iron Oxide (CI 77499), Fd&C Yellow No.5 Al Lake(CI 19140), Titanium Dioxide(CI 77891), D&C Red No.7 Ca Lake(CI 15850), D&C Red No.28 Al Lake (CI 45410:2). Highlighter: Talc, Mineral Oil, Magnesium Stearate, Ethylhexyl Palmitate, Polyisobutene, Bis-Diglyceryl Polyacyladipate-2, Hydroxyacetophenone, Chlorphenesin, Synthetic Fluorphlogopite, Mica, Tin Oxide May Contain: Iron Oxide(CI 77491), Fd&C Yellow No.5 Al Lake(CI 19140), Titanium Dioxide(CI 77891), D&C Red No.7 Ca Lake(CI 15850), Carmine(CI 75470), D&C Black No. 2 (CI 77266).","[""2619754""]",1,2.7,3.0,2.67,3,3,0.0,3,,0,0
https://www.ulta.com/p/3c-color-correcting-concealer-palette-xlsImpprod12011171,3C Color Correcting Concealer Palette,NYX Professional Makeup,description,Color Correcting,source,"[""Color Correcting""]",12.0,"Conscious Beauty at Ulta Beauty™ Cruelty Free Give Back Wake up your face with the NYX Professional Makeup Color Correcting Concealer palette in six customizable, buildable & lightweight color correcting shades. Details Benefits Travel friendly color correcting concealer palette Lightweight, non-creasing formula glides on for an ultra-smooth finish Leaves skin feeling soft and supple Includes six buildable shades to cover up problem spots, even out imperfections & accentuate your best features Layer and blend to cover and conceal redness, blue tones, bruising, dark circles and yellowness Suitable for all skin tones and types Cruelty free How To Use Pick up desired amount of product with a clean finger or brush and apply to complexion or under eyes. Ingredients Shades 1-3: Trimethylsiloxyphenyl Dimethicone, Dimethicone, Beeswax / Cera Alba / Cire d'Abeille, Isononyl Isononanoate, Caprylic / Capric Triglyceride, Octyldodecanol, Polyglyceryl-3 Diisostearate, Polyethylene, Sorbitan Olivate, Dimethicone Crosspolymer, Hydrogenated Microcrystalline Wax, Tocopheryl Acetate, Triethoxycaprylylsilane, BHT. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77492), Blue 1 Lake (CI 42090), Carmine (CI 75470), Chromium Oxide Greens (CI 77288), Yellow 5 Lake (CI 19140). Shades 4-6: Trimethylsiloxyphenyl Dimethicone, Dimethicone, Beeswax / Cera Alba / Cire d'Abeille, Isononyl Isononanoate, Caprylic / Capric Triglyceride, Octyldodecanol, Polyglyceryl-3 Diisostearate, Polyethylene, Sorbitan Olivate, Dimethicone Crosspolymer, Hydrogenated Microcrystalline Wax, Triethoxycaprylylsilane, Tocopheryl Acetate, BHT. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499).","[""2283240""]",1,,597.0,4.02,597,597,0.83,481,,0,116
https://www.ulta.com/p/4-in-1-correcting-primer-anti-blemish-mattify-pimprod2009158,4-in-1 Correcting Primer Anti Blemish & Mattify,PÜR,description,Face Primer,source,"[""Face Primer""]",34.0,"Conscious Beauty at Ulta Beauty™ Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Correcting Primer Anti Blemish & Mattify instantly blurs the look of imperfections while addressing breakouts and controlling shine with skin-nourishing ingredients. Details Benefits Key Ingredients Formulated Without Helps skin control shine for a matte look, finish. Skincare-infused primer formula helps treat acne breakouts immediately and with continued use. Charcoal-colored formula blends to translucent upon application that can be worn every day, with or without makeup to help control shine and breakouts. Minimizes the appearance of pores by helping clear pores of dirt and oil. Addresses the appearance of fine lines & wrinkles. Salicylic Acid and Beta Hydroxy Acids help to gently exfoliate skin and address breakouts for a clearer-looking complexion. Charcoal's antibacterial properties help draw out pore-clogging oil, dirt and impurities for brighter looking skin. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides, this primer gently promotes cell turnover while diminishing the look of fine lines, wrinkles, and discoloration for a brighter-looking, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. A complexion-boosting blend of invigorating ingredients like Green Tea, Ginseng, and Vitamin B help address signs of premature aging while stimulating and renewing the skin's appearance. Lingonberry Extract helps protect the skin from environmental stressors, like pollution and damage caused by high energy blue light. Polysaccharide Film provides a protective, breathable barrier to help shield skin from environmental stressors like pollution. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Cleanse the skin thoroughly before applying the product. For New Users: Apply product to a small area once a day for three days to test if you are sensitive to this product. If no discomfort occurs, cover the entire affected area with a thin layer. Start with only one application daily, then gradually increase to two or three times daily, if needed. If dryness or peeling occurs, reduce application to once a day or every other day. Keep carton for additional directions and warning information. Ingredients Aqua, Dimethicone, Pentylene Glycol, Polymethylsilsesquioxane, Polysilicone-11, Glycerin, Butylene Glycol, Ceramide Ap, Retinol, Lactic Acid, Butyrospermum Parkii (Shea) Butter, Sodium Starch Octenylsuccinate, Panax Ginseng Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Niacinamide, Charcoal Powder, Buddleja Officinalis Flower Extract, Polyacrylate-13, Polyisobutene, Caprylyl Glycol, Hydroxyethylcellulose, Propanediol, Polysorbate 20, Alteromonas Ferment Filtrate, Potassium Sorbate, Decyl Glucoside, Hexylene Glycol, Sodium Hydroxide, Citric Acid, Phenoxyethanol, Disodium Phosphate, Polysorbate 60, Sodium Phosphate.","[""2550942""]",1,4.1,36.0,4.08,36,36,0.8,34,,0,2
https://www.ulta.com/p/4-in-1-correcting-primer-dark-spot-corrector-xlsImpprod18931476,4-in-1 Correcting Primer Dark Spot Corrector,PÜR,description,Face Primer,source,"[""Face Primer""]",34.0,"Conscious Beauty at Ulta Beauty™ Vegan Clean Ingredients Cruelty Free Give Back PÜR Dark Spot Corrector Primer helps neutralize dark spots, discoloration, diminishes the appearance of fine lines and wrinkles, helping makeup wear longer. Details Benefits Key Ingredients Formulated Without 4 benefits in 1: makeup primer, pore reducer, color corrector, evens skin tone. Color-correcting peach primer formula instantly helps neutralize dark spots, hyperpigmentation, and discoloration for an even skin tone. Minimizes the appearance of pores. Blurs the appearance of fine lines and wrinkles. Silky smooth texture helps smooth and even skin tone and texture. Skin-loving makeup primer formula helps makeup wear longer. Skincare-infused primer formula helps to reduce the appearance of dark circles, dark spots, freckles, hyperpigmentation, fine lines and wrinkles and skin imperfections. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Smooth onto clean, moisturized skin. Allow to dry, then follow with your favorite foundation. Ingredients Mica, Caprylic/Capric Triglyceride, Bismuth Oxychloride (CI 77163), Zinc Stearate, Sodium Starch Octenylsuccinate, Lactic Acid (L), Butyrospermum Parkii (Shea) Butter, Retinol, Ceramide AP, Aqua, Glycerin, Lauryl Methacrylate / Glycol Dimethacrylate Crosspolymer, Dicaprylyl Ether, Pisum Sativum (Pea) Extract, Algae Extract, Xanthan Gum, Polyglyceryl-2 Dipolyhydroxystearate, Tocopheryl Acetate, Boron Nitride, Glycereth-2 Cocoate, Benzoic Acid, Silica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).","[""2531216""]",1,3.8,36.0,3.83,36,36,0.73,29,,0,7
https://www.ulta.com/p/4-in-1-correcting-primer-energize-rescue-xlsImpprod18031023,4-in-1 Correcting Primer Energize & Rescue,PÜR,description,Face Primer,source,"[""Face Primer""]",34.0,"Conscious Beauty at Ulta Beauty™ Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Correcting Primer Energize & Rescue powered by probiotics and skincare ingredients to help energize dull, tired skin, and restore balance to skin's natural microbiome. Details Benefits Key Ingredients Formulated Without 4 benefits in 1: makeup primer, redness reducer, pore reducer, skin soother. Helps improve the look of tired, dull skin. Helps soothe and reduce redness. Minimizes the appearance of pores. Addresses the appearance of fine lines & wrinkles. Lightweight serum-like primer texture helps hydrate, smooth uneven skin tone and texture. Can be worn every day with or without makeup. Skincare-infused primer formula helps to reduce the appearance of dark circles, redness, fine lines & wrinkles, uneven skin tone, and hyperpigmentation. Helps improve skin health by helping restore balance to the skin's microbiome. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother-looking skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. Probiotics help restore balance to the skin's natural microbiome. Plant-powered Squalane hydrates and softens the skin. Coconut Water helps increase skin hydration. BPA Fragrance Gluten Silicones Mineral Oil Parabens Phthalate Sulfates How To Use Smooth on to skin and let dry. Can be worn alone or under makeup. Ingredients Aqua, Ceteareth-6 Olivate, Coconut Alkanes, Neopentyl Glycol Dicaprylate/Dicaprate, Hydrogenated Olive Oil, Propanediol, Squalane, Cocos Nucifera (Coconut) Water, Cocos Nucifera (Coconut) Fruit Juice, Lactobacillus/Amaranth/Ferment, Aloe Barbadensis Leaf Juice, Caffeine, Glycyrrhiza Uralensis (Licorice) Root Extract, Ceramide AP, Retinol, Lactic Acid, Butyrospermum Parkii (Shea) Butter, Sodium Starch Octenylsuccinate, Glycerin, Polyacrylate Crosspolymer-6, Coco-Caprylate/Caprate, Olea Europaea (Olive) Fruit Oil, Trisodium Ethylenediamine Disuccinate, Olea Europaea (Olive) Oil Unsaponifiables, Caprylic/Capric Triglyceride, Ananas Sativus (Pineapple) Fruit Extract, Coffea Arabica (Coffee) Leaf/Seed Extract, Jasminum Officinale (Jasmine) Flower/Leaf Extract, Dipteryx Odorata Seed Extract, Cocos Nucifera (Coconut) Fruit Extract, Prunus Armeniaca (Apricot) Fruit Extract, Cucumis Melo Cantalupensis Fruit Extract, Vanilla Planifolia Fruit Extract, Citrus Aurantium Dulcis (Orange Peel) Extract, Phenoxyethanol, Hexylene Glycol, Caprylyl Glycol, Sodium Benozate, Potassium Sorbate.","[""2525975""]",1,4.5,256.0,4.5,256,256,0.94,51,,0,205
https://www.ulta.com/p/4-in-1-correcting-primer-redness-reducer-xlsImpprod18931482,4-in-1 Correcting Primer Redness Reducer,PÜR,description,Face Primer,source,"[""Face Primer""]",34.0,"Conscious Beauty at Ulta Beauty™ Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Correcting Primer Redness Reducer helps neutralize redness and discoloration, softens the appearance of fine lines and wrinkles, helps makeup wear longer. Details Benefits Key Ingredients Formulated Without 4 benefits in 1: makeup primer, redness reducer, color corrector, evens skin tone. Skincare-infused primer formula helps to reduce the appearance of redness, dark circles, fine lines, and uneven skin tone. Color-correcting green hue primer formula instantly neutralizes redness and the appearance of discoloration. Minimizes the appearance of pores. Helps reduce the appearance of fine lines & wrinkles. Helps smooth and even skin tone & texture. Helps makeup wear longer. 94% said this primer smooths evenly onto skin and provides a silky-smooth finish.* 94% saw instantly reduced appearance of redness.* 91% said this primer preps skin for better makeup application.* *Based on an in-house perception study. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother-looking skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Smooth onto clean, moisturized skin. Allow to dry, then follow with your favorite foundation. Ingredients CYCLOPENTASILOXANE, ISONONYL ISONONANOATE, ISODODECANE, DIMETHICONE CROSSPOLYMER, CERAMIDE AP, RETINOL, LACTIC ACID (L), BUTYROSPERMUM PARKII (SHEA) BUTTER, SODIUM STARCH OCTENYLSUCCINATE, MAGNESIUM MYRISTATE, PHENYL TRIMETHICONE, BORON OXIDE, TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77492), CHROMIUM HYDROXIDE GREEN (CI 77289).","[""2531397""]",1,4.1,34.0,4.09,34,34,0.7,34,,0,0
